id,label,activity,object,indegree,outdegree,degree,closnesscentrality,betweenesscentrality,pageranks,group,group2
1,Aircraft ferrying,1.2.2,B4ii,0,3,3,1.0,0.0,0.007788009230157787,1.0,2
2,Aerospace supply chain optimization,1.1.1,Div,0,5,5,0.7272727272727273,0.0,0.007788009230157787,1.0,1
3,Aerospace equipment procurement,1.1.2,Bdiv,0,1,1,0.6,0.0,0.007788009230157787,1.0,1
4,Aerospace personnel recruiting,1.1.2,F,0,2,2,0.75,0.0,0.007788009230157787,1.0,1
5,Logistics for space launches,1.2.1,B4ii,0,0,0,0.0,0.0,0.007788009230157787,1.0,2
6,Design of asteroid mining exploration equipment,2.1.2,B4ii,0,0,0,0.0,0.0,0.007788009230157787,2.0,4
7,Design of aircraft interiors,2.1.2,Bdiv,1,1,2,0.4444444444444444,1.0,0.011098006992683299,2.0,4
8,Engineering for spaceflight,2.1.2,Bdiv,0,0,0,0.0,0.0,0.007788009230157787,2.0,4
9,Engineering firms for aerospace,2.1.2,Div,2,3,5,0.7142857142857143,6.0,0.012753005873946056,2.0,4
10,Education for aerospace manufacturing workers,2.1.2,F,0,2,2,0.75,0.0,0.007788009230157787,2.0,4
11,Test and calibration for commercial aerospace,2.1.3,Bdiv,1,4,5,0.75,6.0,0.01440800475520881,2.0,4
12,Testing aerospace products,2.1.3,Bdiv,0,2,2,0.5,0.0,0.007788009230157787,2.0,4
13,Materials processing for commercial aerospace,2.2.2,B1iii,0,6,6,0.8,0.0,0.007788009230157787,2.0,5
14,Aerostructures for Commercial Aerospace - BG,2.2.2,B2div,7,1,8,0.6,0.5833333333333333,0.02224312644851711,2.0,5
15,Aerospace coatings,2.2.2,B2i,0,1,1,0.6,0.0,0.007788009230157787,2.0,5
16,Carbon composite materials for commercial aerospace - BG,2.2.2,B2i,0,2,2,0.6666666666666666,0.0,0.007788009230157787,2.0,5
17,Coatings and Insulation for Diversified Electronics - BG,2.2.2,B2i,0,1,1,0.4444444444444444,0.0,0.007788009230157787,2.0,5
18,Industrial supplies as inputs to airplanes,2.2.2,B2ii,0,3,3,0.7142857142857143,0.0,0.007788009230157787,2.0,5
19,Machine shops for commercial aerospace,2.2.2,B2ii,11,2,13,0.6666666666666666,5.5,0.034269772539634175,2.0,5
20,Industrial supplies for tools used in airplane manufacturing,2.2.2,B2ii,0,6,6,0.7142857142857143,0.0,0.007788009230157787,2.0,5
21,In-flight entertainment systems,2.2.2,B3iii,0,1,1,0.6,0.0,0.007788009230157787,2.0,5
22,Propulsion systems for commercial aircraft,2.2.2,B3iii,0,1,1,0.6,0.0,0.007788009230157787,2.0,5
23,Avionics,2.2.2,B3iii,1,1,2,0.6,3.0,0.01440800475520881,2.0,5
24,Propulsion systems for spaceflight,2.2.2,B3iii,0,0,0,0.0,0.0,0.007788009230157787,2.0,5
25,Commercial Airplanes,2.2.2,B4ii,24,2,26,1.0,53.0,0.17614185729620466,2.0,5
26,Equipment for test and calibration for commercial aerospace,2.2.2,B4ii,0,1,1,0.4666666666666667,0.0,0.007788009230157787,2.0,5
27,Industrial tools for aerospace,2.2.2,B4ii,2,4,6,0.7,2.0,0.010403053494752734,2.0,5
28,Industrial tools for commercial aerospace MRO,2.2.2,B4ii,2,1,3,0.6,2.0,0.010403053494752734,2.0,5
29,Spacecraft,2.2.2,B4ii,0,0,0,0.0,0.0,0.007788009230157787,2.0,5
30,Parts and equipment manufacturers,2.2.2,Bdiv,16,1,17,0.6,2.083333333333333,0.054940340119535115,2.0,5
31,Interiors,2.2.2,Bdiv,3,1,4,0.6,3.5833333333333335,0.019871691546372788,2.0,5
32,Parts manufacturing for spacecraft,2.2.2,Bdiv,1,0,1,0.0,0.0,0.009112008335167992,2.0,5
33,Product design software for commercial aerospace,2.2.2,C4iii,0,4,4,0.7,0.0,0.007788009230157787,2.0,5
34,Programming for machine tools for commercial aerospace,2.2.2,C4iii,0,2,2,0.5,0.0,0.007788009230157787,2.0,5
35,"Maintenance, repair and overhaul of support equipment for commercial aerospace",2.2.3,B4div,0,1,1,1.0,0.0,0.007788009230157787,2.0,5
36,"Maintenance, repair and overhaul for commercial aerospace",2.2.3,B4ii,7,2,9,1.0,10.0,0.03329512089882982,2.0,5
37,"Maintenance, repair and overhaul of components for commercial aerospace",2.2.3,Bdiv,1,3,4,1.0,1.25,0.009112008335167992,2.0,5
39,Materials distribution to commercial aerospace,3.1.2,B1iii,1,4,5,0.75,0.0,0.008891341817666291,3.0,7
40,Alloyed materials distribution to commercial aerospace,3.1.2,B2i,1,4,5,0.75,0.0,0.008891341817666291,3.0,7
41,Distribution of industrial supplies as inputs to airplanes,3.1.2,B2ii,1,2,3,0.6666666666666666,0.0,0.009994674405174795,3.0,7
42,Distribution of industrial supplies for tools used in airplane manufacturing,3.1.2,B2ii,1,5,6,0.6923076923076923,0.0,0.008891341817666291,3.0,7
43,Distribution of industrial tools for aerospace,3.1.2,B4ii,1,4,5,0.75,1.0,0.009999121784413137,3.0,7
44,Parts and equipment distribution for commercial aircraft component manufacturers,3.1.2,Bdiv,0,1,1,0.45454545454545453,0.0,0.007788009230157787,3.0,7
45,Parts and equipment distribution for commercial aircraft MRO firms,3.1.2,Bdiv,0,5,5,0.7272727272727273,0.0,0.007788009230157787,3.0,7
46,Parts and equipment distribution for general aviation,3.1.2,Bdiv,0,0,0,0.0,0.0,0.007788009230157787,3.0,7
47,Aircraft leasing,3.3.2,B4ii,4,1,5,1.0,0.0,0.10161701848415843,3.0,9
48,Insurance For Businesses,3.3.2,D3ii,0,0,0,0.0,0.0,0.007788009230157787,3.0,9
49,Consulting for Aerospace,4.1.2,Div,0,0,0,0.0,0.0,0.007788009230157787,4.0,10
38,Airlines,1.2.2,Div,8,0,8,0.0,0.0,0.20119182605375852,1.0,3
